gene	in_classic_blacklist	in_sc_blacklist
Ackr3	FALSE	TRUE
Acvr1	FALSE	TRUE
Adipor1	FALSE	TRUE
Adipor2	FALSE	TRUE
Adora2a	FALSE	TRUE
Adora2b	FALSE	TRUE
Alcam	FALSE	TRUE
Axl	FALSE	TRUE
C3ar1	TRUE	TRUE
Cadm1	FALSE	TRUE
Ccr2	TRUE	TRUE
Ccr5	TRUE	TRUE
Cd244a	FALSE	TRUE
Cd274	FALSE	TRUE
Cd28	FALSE	TRUE
Cd36	FALSE	TRUE
Cd44	FALSE	TRUE
Cd74	TRUE	FALSE
Cd96	FALSE	TRUE
Cdh1	FALSE	TRUE
Ceacam1	FALSE	TRUE
Cntn1	FALSE	TRUE
Cr2	FALSE	TRUE
Csf1r	TRUE	TRUE
Csf2rb	FALSE	TRUE
Cx3cr1	TRUE	TRUE
Ednrb	FALSE	TRUE
Epha2	FALSE	TRUE
F2r	FALSE	TRUE
Fas	FALSE	TRUE
Fgfr1	FALSE	TRUE
Flt1	FALSE	TRUE
Flt3	FALSE	TRUE
Fzd4	FALSE	TRUE
Icam1	FALSE	TRUE
Ifngr1	FALSE	TRUE
Igf1r	FALSE	TRUE
Igflr1	FALSE	TRUE
Ighm	TRUE	TRUE
Il17rb	FALSE	TRUE
Il17re	FALSE	TRUE
Il18r1	FALSE	TRUE
Il1r1	FALSE	TRUE
Il1rap	FALSE	TRUE
Il1rl1	FALSE	TRUE
Itga1	FALSE	TRUE
Itga2	FALSE	TRUE
Itga2b	FALSE	TRUE
Itga5	FALSE	TRUE
Itga9	FALSE	TRUE
Itgal	TRUE	TRUE
Itgb2	TRUE	FALSE
Jam2	FALSE	TRUE
Kit	TRUE	TRUE
L1cam	FALSE	TRUE
Lepr	FALSE	TRUE
Lifr	FALSE	TRUE
Mag	FALSE	TRUE
Mcam	FALSE	TRUE
Mertk	TRUE	TRUE
Met	FALSE	TRUE
Mrc1	FALSE	TRUE
Nectin1	FALSE	TRUE
Ocln	FALSE	TRUE
Pard3	FALSE	TRUE
Plxna4	FALSE	TRUE
Plxnb2	FALSE	TRUE
Ptch1	FALSE	TRUE
Ptprc	TRUE	FALSE
Ptprm	FALSE	TRUE
Ret	FALSE	TRUE
Sdc1	FALSE	TRUE
Sdc3	FALSE	TRUE
Sdc4	FALSE	TRUE
Selp	FALSE	TRUE
Sort1	FALSE	TRUE
Sv2c	FALSE	TRUE
Tnfrsf11a	FALSE	TRUE
Tnfrsf1a	FALSE	TRUE
Tnfrsf25	FALSE	TRUE
Tyrobp	TRUE	FALSE
Vcam1	FALSE	TRUE
