gene	slope	AveExpr	t	P.Value	adj.P.Val	B
Mbp	-0.623304439624128	9.76757358448542	-8.81505968249549	5.19657605915257e-08	0.000103963999783421	8.62845356061313
Insr	-0.623022452525613	8.77370866229278	-8.71729427438396	6.14026390662038e-08	0.000109194359806066	8.47310717263925
St8sia4	-0.733851661574096	11.8245645377707	-8.53705941001146	8.37812527501135e-08	0.000116577234709057	8.18312279246329
Irf4	-0.735849619950977	8.06842377481453	-8.07903470186021	1.88015824747747e-07	0.000158378593425668	7.42489336296917
Hspa1a	-0.672669865407924	10.2442373842621	-7.83500984899035	2.92453607277546e-07	0.000205349976720798	7.00824773214412
Degs1	-0.377657397687047	10.9563831193119	-7.60891748837167	4.43480577290218e-07	0.000205351828855178	6.61425279046656
Hpgd	-0.656804496630676	8.57633272984754	-7.59934145758533	4.51438314824531e-07	0.000205351828855178	6.59739536315395
Hspa1b	-0.541101014184956	11.6760876632884	-7.54522661255025	4.99282673009426e-07	0.000205351828855178	6.50187268194087
Rpl22	-0.424770642583901	8.86409516903906	-7.55255384385547	4.92507625900326e-07	0.000205351828855178	6.51483248002012
Sort1	-0.735939347297811	7.72323153076529	-7.70502331067961	3.71238136169391e-07	0.000205351828855178	6.78266954996064
Thbd	-0.475969013109285	10.2712680730889	-7.50893809828577	5.3429213415689e-07	0.000205351828855178	6.43756901402559
Eeig2	-0.457903807641606	9.3171665511717	-7.4298267328565	6.19740068142233e-07	0.000214230940521709	6.29669275227798
Ccpg1	-0.535856953083017	9.81837577399086	-7.37445926831479	6.87892099762963e-07	0.000229369022014713	6.19753496237482
Camkk2	-0.470298482599538	8.56897135119375	-7.25595693354605	8.61196732076394e-07	0.000255948593080342	5.98374981711539
Mid1ip1	-0.642215250596416	9.27653515677361	-7.27899443521163	8.24265905810667e-07	0.000255948593080342	6.02547722324593
Add3	-0.736342457054524	10.0939683600448	-7.20461982043522	9.49800821243407e-07	0.000276392038981831	5.89047499789597
Gramd4	-0.513970815822386	9.94496741701064	-7.18072916890865	9.94208723532568e-07	0.000284148403931049	5.8469319502602
Syncrip	-0.373385162865468	9.64789100183169	-7.10290283984399	1.1544039670441e-06	0.000324144482325279	5.70448747481345
Myo5a	-0.423842171225935	10.1622023862916	-7.08121164699881	1.20366135693629e-06	0.000325308857738424	5.66462330717581
Abcd2	-0.741665305131023	7.21260964340589	-6.95305183851953	1.54271781844775e-06	0.000368525353496362	5.42764213397329
Arhgef6	-0.483086164228773	7.79874001975764	-6.84462816005112	1.90645349069846e-06	0.000424431759963276	5.22522523187272
Prkag2	-0.679290219627198	7.53147731544467	-6.8438545565098	1.90934624913189e-06	0.000424431759963276	5.22377464830524
Ip6k3	-0.503527584831134	8.51174978590381	-6.82334898753785	1.98770306849905e-06	0.00043306932247612	5.18529199065754
Abca9	-0.849734493105143	7.90581368793987	-6.79675497507537	2.09431190621496e-06	0.000443274583719725	5.13528946196177
Rassf3	-0.331784811339235	10.9735128810864	-6.69290965247558	2.57063071501834e-06	0.000503729485563881	4.93902665725204
Arhgef18	-0.560093524550588	9.68549533315087	-6.63993084909737	2.85553719982443e-06	0.000527904182686697	4.83828127002143
Arrb1	-0.665918430641938	7.70752345493792	-6.60110928579897	3.08490663020098e-06	0.000561067393367804	4.76419359657623
Bcl11a	-0.72113043318381	7.93023873727593	-6.57447599280271	3.25321418547768e-06	0.00057487888102	4.71323747201094
Klf4	-0.359092991592089	9.82319135639464	-6.5721124152244	3.2686021976145e-06	0.00057487888102	4.70871030689166
Lpgat1	-0.33248975832588	9.77762309995746	-6.50336091061241	3.7507470024505e-06	0.000600307057742203	4.57666511948442
Vps13c	-0.46411891328998	7.67865633371183	-6.42016459405063	4.43400423019588e-06	0.00068236767023351	4.41595181302056
Fkbp4	-0.490594316190962	9.5712231031495	-6.39222928300196	4.69126276898065e-06	0.000708336420920145	4.36176226771587
Hgsnat	-0.525600181698066	9.60150854529847	-6.34864197519459	5.12385911274021e-06	0.000733050022889811	4.276985007303
Klhl42	-0.585000030183481	5.90276165394227	-6.28183094411198	5.86850701342405e-06	0.000796859318308471	4.14650664968584
Tmcc1	-0.45833331292995	9.23215423871494	-6.24954274495001	6.2675694830886e-06	0.000815548370543358	4.08322052423257
Prkar2b	-0.62487095387351	8.24549368626776	-6.24350359493609	6.34526506048461e-06	0.000818999736234325	4.07136706485069
Klf2	-0.632456749924555	8.08283602457038	-6.21838554523647	6.67922997545941e-06	0.00084174075399392	4.02201052739093
Kpnb1	-0.337154426638945	9.15622540225661	-6.1989116245382	6.95059745926868e-06	0.000858486096526582	3.98368306392395
Cers5	-0.290624661480108	9.99794802042433	-6.17558737001254	7.2906449544244e-06	0.000890738721340172	3.93770707773744
Plekhg3	-0.392923713221002	9.98874827706364	-6.12521051234712	8.08490175124612e-06	0.000951462150946281	3.83814486428537
St6gal1	-0.720872574932543	6.95414756977676	-6.11987936698279	8.17401881001645e-06	0.000953766778764031	3.82758786950849
Reep5	-0.31004538281173	9.67212065697659	-6.08758435739622	8.73595487316636e-06	0.000964584495981308	3.76355103319785
Tshz1	-0.473514444260346	7.82055791181764	-6.08914896420388	8.70783365272335e-06	0.000964584495981308	3.76665679044374
Pank1	-0.681676489867069	5.94460069404838	-6.07253208096981	9.01132328724758e-06	0.000987850885016421	3.73365479374964
Bcl7c	-0.39596763483969	9.33895494620647	-6.04810840429605	9.47731236403533e-06	0.00101554815145112	3.68507873515228
Lpin1	-0.627864337918545	7.31162635528634	-6.04545997140666	9.52931337955168e-06	0.00101554815145112	3.67980633909846
Mfsd6	-0.491071155385354	9.27974443928095	-6.03966974001904	9.64402876764151e-06	0.00101554815145112	3.668276008332
Sun1	-0.510489854573906	8.23304350907857	-6.05318601705782	9.37843121061268e-06	0.00101554815145112	3.69518434244268
Abcb7	-0.304122650124593	10.4093620452292	-6.00952626105927	1.02646304529458e-05	0.00105829249187764	3.60817559755704
Mapre2	-0.287233597207958	9.53549632491425	-5.99954789291245	1.04790119828388e-05	0.00106149738471731	3.5882531803736
Dipk1a	-0.44091314280478	8.02780862347224	-5.9879605548181	1.07337582183791e-05	0.00107371125178224	3.5651012903003
Bri3bp	-0.539124289742718	8.70322293340642	-5.97454276968119	1.10367307271856e-05	0.0010770907029793	3.53826924320749
Ak3	-0.342197258399704	9.61274357030542	-5.95923360870597	1.13931885974801e-05	0.00109190409283035	3.50762505348339
Cx3cr1	-0.796064804182489	8.21593630354444	-5.96168594502339	1.13353008546972e-05	0.00109190409283035	3.51253600873814
Rab36	-0.474928044355842	5.33805373822019	-5.94986228062271	1.16172184747203e-05	0.00110674751004702	3.48885088478691
Padi2	-0.359922877897271	10.5696130713505	-5.92750372198272	1.21702228254385e-05	0.00113909015392481	3.4440106502759
Wdr3	-0.317302642717097	8.93296905556861	-5.8790770407856	1.34628276921473e-05	0.00123834802995872	3.34666033758556
Eeig1	-0.288423869438651	9.3496268753341	-5.86344213382454	1.39096762182548e-05	0.00125598806840295	3.31516321782274
Prmt3	-0.295214014141952	9.96633937900147	-5.86142244097978	1.39685021040753e-05	0.00125598806840295	3.31109210073526
Sqor	-0.427179792800132	9.35941957701926	-5.86298467996868	1.39229777275964e-05	0.00125598806840295	3.31424117046185
Pigb	-0.6202109998334	9.08220792893079	-5.8485432781887	1.43496910336358e-05	0.00126371709129316	3.28511871555138
Syk	-0.318280424643375	8.53943691686754	-5.83797782788408	1.4670382007688e-05	0.00128305718050845	3.26379500944855
Cyp4f16	-0.373232584985238	9.85857382248647	-5.81776170787293	1.53047041255826e-05	0.00133125972570625	3.22295284323923
Aco1	-0.371852655355215	8.26103076066625	-5.80871294787913	1.55977006462274e-05	0.00133497967295653	3.20465444520212
Idh1	-0.627100974911826	6.60956826623071	-5.76387862850264	1.7136855215822e-05	0.00142851754025641	3.11383280138763
Ldlrad3	-0.490144215500887	10.4458992353252	-5.73399417583171	1.82487572420663e-05	0.00147510787706703	3.05315064546523
Mtus1	-0.287971031275689	10.0888519454848	-5.73637588992729	1.815748257259e-05	0.00147510787706703	3.05799107523004
Smarca2	-0.334234844701969	11.4040115654349	-5.73855562551485	1.80743595063695e-05	0.00147510787706703	3.06242037920318
AI467606	-0.461669657687666	8.48818080444262	-5.72267674687185	1.86889631881834e-05	0.001493042272826	3.03013994599755
Nfe2	-0.76933719901662	8.09871092461295	-5.69175301454875	1.99482763164395e-05	0.00152925077814071	2.96718208855745
Brd3	-0.327371766341051	10.4287297202809	-5.66685900529204	2.10251991297487e-05	0.00158730335882844	2.91641199667279
Galnt9	-0.718378576371459	6.9538709624874	-5.66334310715381	2.11820407082895e-05	0.00159045543734345	2.90923519472516
Ampd3	-0.485023610225973	9.92211370448101	-5.6454973048521	2.19968582723444e-05	0.00162990609559663	2.87278363557061
Satb2	-0.680770171385389	6.8464800875059	-5.63873543069703	2.23139444008768e-05	0.00164578193611075	2.85896151580338
Evi5	-0.383607791132669	9.90435132640844	-5.6237612239336	2.303294645901e-05	0.00166055093728133	2.82833205769984
Setx	-0.336387644857989	9.65585954057578	-5.62403754775017	2.301946533245e-05	0.00166055093728133	2.82889752559033
Dock1	-0.547691730668721	7.81313387803591	-5.56944413320503	2.58468304223253e-05	0.0018385712040414	2.7169946465318
Ugt1a7c	-0.492400998527897	8.57257447194612	-5.55687226020238	2.65469695911562e-05	0.00188001879781617	2.69117367836939
Herc4	-0.263284526294748	10.5751955439361	-5.55078161489938	2.6893131309898e-05	0.00189614346526395	2.67865738634259
Niban1	-0.404117629252168	9.09996621733263	-5.54236014786159	2.7379409357623e-05	0.00192095153825441	2.66134384319836
Tppp	-0.545112274659563	5.69323402776579	-5.54055127960892	2.74850298194476e-05	0.00192095153825441	2.65762390408135
Mapk8	-0.336603786163631	8.0224220188114	-5.53607753440133	2.7748052364247e-05	0.00192863835056114	2.64842194614387
Svip	-0.505375875216601	7.40829517722631	-5.51823535094021	2.8822985335618e-05	0.00198841327714037	2.61169874095225
Pdlim1	-0.561703305203671	10.0833717854913	-5.51233857619583	2.91875622272837e-05	0.00199635441644306	2.599553460531
E2f2	-0.383439178920355	10.3306939827841	-5.49942758366977	3.00024092755428e-05	0.00204335557640452	2.5729468567544
Pon2	-0.269242573746021	10.1172890922869	-5.48118195250154	3.11939036170333e-05	0.00209772448483453	2.53531298604658
Spn	-0.392294951449924	7.59218222564635	-5.45615176989176	3.2907859592751e-05	0.00218893182307973	2.48362120310498
