gene	slope_Nh	FDR_Nh	slope_Am	FDR_Am	slope_Ne	FDR_Ne	slope_Mo	FDR_Mo	slope_Ly	FDR_Ly
Cx3cr1	-0.0723493698494861	0.656519177831279	-0.067070993263278	0.559274648453567	-0.229962336248229	0.513093803911438	-0.796064804182489	0.00109190409283035	0.0387166379134592	0.942922217436895
Cx3cl1	-0.128949300372027	0.520069143869811	-0.601004553972097	5.99728422047347e-05	0.10343518687934	0.564800042568693	-0.0174557591772157	0.878203212223495	-0.0861228402131605	0.58267431305634
Klf2	0.048362511907483	0.884809306992261	-0.0628176279703283	0.766268334068214	0.126395014697734	0.487939206362856	-0.632456749924555	0.00084174075399392	0.00827058913393604	0.984261071568937
Arrb1	-0.146124669701469	0.585770239026663	-0.419259441355512	0.00679790991475456	-0.450704484296883	0.0376929108799294	-0.665918430641938	0.000561067393367804	-0.0422434015786643	0.908545616390609
Gstm1	-0.0168987118033104	0.968445276892769	-0.619123319591557	9.75641958824391e-05	0.238737088254762	0.342397225680828	-0.440672531471029	0.0125515863874156	-7.54222523203738e-05	0.999835130488634
Cd209a	-0.0306035236181813	0.787038738321351	-0.0175179129702858	0.878437354954018	-0.0039012271412824	0.985979677716651	-0.494030772482081	0.00238060227805547	-0.0393299513649736	0.721611042926155
Btla	-0.145968084837812	0.660686806228227	-0.0159389620911773	0.95687363992567	0.197542194135131	0.5385791186557	-0.533917339674537	0.00482940869184734	0.070349901712985	0.750799333493366
Il16	-0.0895462156348165	0.808808062071697	-0.369522077990089	0.000695068429408385	-0.0875741541091014	0.395637534012636	-0.244758874675413	0.00920717577593119	-0.0324892340645048	0.896022831641658
Insr	-0.0724299815863796	0.722501898614467	-0.250910146106613	0.0251600474033683	-0.163474681305847	0.364489041093261	-0.623022452525613	0.000109194359806066	-0.0275737422850803	0.932546057151838
Mbp	-0.296373551679005	0.279431097504164	-0.268709937418442	0.00150306462720335	-0.39543402369407	0.00151709121062584	-0.623304439624128	0.000103963999783421	0.0276173579486532	0.911891644990476
Bcl11a	-0.260267319890142	0.273326266293573	-0.0484756590014725	0.673503993335242	-0.427892140421385	0.0909057977827942	-0.72113043318381	0.00057487888102	-0.279214524196359	0.141239272040837
Cd177	0.0557665373694956	0.89378540674609	0.169778509958898	0.0637264505415434	-0.11174773962107	0.734053089840772	-0.713807437811875	0.00421320853589835	0.0602469895913263	0.771068556675842
Tac1	0.0701323038460189	0.602464731437618	0.147744459410281	0.19052075588758	-0.164543683225561	0.506113504890397	-0.0617261633097212	0.757485651712709	-0.0706527334010925	0.722421047229455
Slc17a6	0.090524417242165	0.624837244346387	-0.101390478013982	0.420301580442934	-0.146156729639021	0.756563515442807	-0.0938856491164043	0.714903674389586	0.0813780934771268	0.691374986381474
