gene_symbol	func_class	also_in_blacklist	trend_slope	trend_FDR	log2FC_0p6_vs_TX91	FDR_0p6_vs_TX91	log2FC_10_vs_TX91	FDR_10_vs_TX91	log2FC_100_vs_TX91	FDR_100_vs_TX91	log2FC_TX91_vs_Sham	FDR_TX91_vs_Sham	meanExpr_TX91
Rasgrp2	ImmuneReg;SignalTransduction;CellCommunication;Membrane		-0.819291608273643	0.00521582721665301	-1.90331436713964	0.00930586437715401	-1.50318950489001	0.034257548943249	-2.86434698166202	7.02515255074169e-05	-0.619410698777491	0.554609955759576	9.01699257390091
Cx3cr1	ImmuneReg;InflammReg;SignalTransduction;CellCommunication;Membrane		-0.796064804182489	0.00109190409283035	-1.72868719866881	0.00118525020340952	-2.54885087520163	1.34712754648364e-05	-2.38016145509736	1.02120723018076e-05	-0.47496830745828	0.505171163354884	9.88036118578639
Abcd2	InflammReg	LipidMetabolism	-0.741665305131023	0.000368525353496362	-1.19210309404949	0.0180221883243031	-1.3722955944638	0.00531768449832496	-2.4121535169653	8.1323014134432e-06	-0.455261599233518	0.52123568636093	8.45674769477553
Bcl11a	ImmuneReg;TFReg		-0.72113043318381	0.00057487888102	-0.995866018724858	0.0499435921346787	-1.04526476196666	0.0340132578150011	-2.38730186286543	8.81449796891741e-06	-0.363796092355138	0.647419677538598	9.03734689816517
Cd177	ImmuneReg;SignalTransduction;CellCommunication;Membrane		-0.713807437811875	0.00421320853589835	-1.717890873189	0.00208002890919559	-1.15336689492451	0.0296610110304128	-2.56753278546108	8.81449796891741e-06	-0.410643945235384	0.622453193772954	10.045142255511
Rnf144a	ImmuneReg;SignalTransduction;CellCommunication;Membrane		-0.712402006816226	0.00277415099863671	-1.33996226116067	0.0436488307182108	-1.4344885628559	0.0259479252778168	-2.34316458882234	0.000201768267140336	-0.522377086685841	0.600827612892992	9.24669258026422
Arrb1	InflammReg;SignalTransduction;CellCommunication;Membrane;TFReg	CarbMetabolism	-0.665918430641938	0.000561067393367804	-1.19500347939762	0.0151029411213775	-1.53364369200265	0.00158840388382358	-2.10684803127145	2.63566180281227e-05	-0.403155429341071	0.57337455696095	8.91639725560585
Klf2	ImmuneReg;InflammReg;SignalTransduction;CellCommunication;TFReg		-0.632456749924555	0.00084174075399392	-1.13018500124959	0.0161034910344943	-1.1494728640883	0.0114374811279182	-2.10175987880228	1.60256828849003e-05	-0.386973803507717	0.572163376383766	9.17819046060542
Mbp	InflammReg;SignalTransduction;CellCommunication;Membrane	CytoskeletalStructure	-0.623304439624128	0.000103963999783421	-0.784224301922693	0.038304969362923	-1.31353882271065	0.000655823664623919	-1.90124329181777	4.38383677634201e-06	-0.603209349407873	0.145398460287293	10.7673251885982
Btla	ImmuneReg;SignalTransduction;CellCommunication;Membrane		-0.533917339674537	0.00482940869184734	-1.12723991553465	0.0289154552350657	-1.43907995321373	0.00450404546351162	-1.67577778635543	0.000473637973740012	-0.242294585210287	0.802218152445081	9.08695230864152
Cd209a	ImmuneReg;Membrane		-0.494030772482081	0.00238060227805547	-1.41326427580773	0.00209329955093082	-1.27578076169526	0.00366981928962418	-1.69259707964442	0.000106753463964756	-0.321211866658656	0.649945691501702	6.2247206263041
Rnase2b	ImmuneReg;Secreted		-0.493676533381089	0.00669648802887491	-1.29849878948654	0.010844064601432	-1.32669260862065	0.00696288156301364	-1.63619050489226	0.000475830803156445	0.176382561948055	0.858848060037391	6.31406679358066
Ampd3	ImmuneReg		-0.485023610225973	0.00162990609559663	-1.10251973113941	0.00689764117365092	-1.04148014745906	0.00793180525486235	-1.63709189531336	4.98167253614214e-05	-0.0361440749442625	0.973540465543062	10.867386647959
Rasgrp4	ImmuneReg;SignalTransduction;CellCommunication;Membrane		-0.368528296086973	0.00984523427091458	-0.882169725980329	0.0249023913913165	-0.926390082110719	0.0156241335943547	-1.21368753491311	0.000795743980518422	-0.611855818642578	0.160404708048525	8.65714687300251
Dock8	ImmuneReg;SignalTransduction;CellCommunication;Membrane		-0.315731944123724	0.00425535162649211	-0.800735773962385	0.00474792390292637	-0.756295732554673	0.00525489260260833	-1.06725316088165	9.42369285607925e-05	0.252759776142293	0.517934264225544	10.3379780273028
Il16	ImmuneReg;InflammReg;SignalTransduction;CellCommunication;Secreted;Membrane		-0.244758874675413	0.00920717577593119	-0.612769883051049	0.01713791093176	-0.618859648158857	0.0133279104348803	-0.813832993882103	0.000593266323608656	-0.168119926879761	0.690261303020215	10.4923255918708
Rin3	ImmuneReg;SignalTransduction;CellCommunication		-0.239079948285338	0.0800772619275822	-0.730187545339447	0.0321554684393579	-0.926905093411291	0.00525489260260833	-0.731360644927177	0.0148112436537993	-0.415165071029117	0.318375715490584	9.09246799334264
