gene_symbol	func_class	also_in_blacklist	trend_slope	trend_FDR	log2FC_0p6_vs_TX91	FDR_0p6_vs_TX91	log2FC_10_vs_TX91	FDR_10_vs_TX91	log2FC_100_vs_TX91	FDR_100_vs_TX91	log2FC_TX91_vs_Sham	FDR_TX91_vs_Sham	meanExpr_TX91
Abca9	Membrane		-0.849734493105143	0.000443274583719725	-1.44124582587518	0.0140477791779839	-1.58117211666608	0.00537177010584146	-2.78580621342018	8.1323014134432e-06	-0.651277517147916	0.380593552392893	9.35786972693023
Rasgrp2	ImmuneReg;SignalTransduction;CellCommunication;Membrane		-0.819291608273643	0.00521582721665301	-1.90331436713964	0.00930586437715401	-1.50318950489001	0.034257548943249	-2.86434698166202	7.02515255074169e-05	-0.619410698777491	0.554609955759576	9.01699257390091
Cx3cr1	ImmuneReg;InflammReg;SignalTransduction;CellCommunication;Membrane		-0.796064804182489	0.00109190409283035	-1.72868719866881	0.00118525020340952	-2.54885087520163	1.34712754648364e-05	-2.38016145509736	1.02120723018076e-05	-0.47496830745828	0.505171163354884	9.88036118578639
Nfe2	SignalTransduction;CellCommunication;TFReg		-0.76933719901662	0.00152925077814071	-1.705580512633	0.00122112286645544	-1.2353926778539	0.0123696166550434	-2.7211866083151	2.03402529600059e-06	-0.32691020555917	0.696583712084892	9.51425087431345
Abcd2	InflammReg	LipidMetabolism	-0.741665305131023	0.000368525353496362	-1.19210309404949	0.0180221883243031	-1.3722955944638	0.00531768449832496	-2.4121535169653	8.1323014134432e-06	-0.455261599233518	0.52123568636093	8.45674769477553
Add3	Membrane	CytoskeletalStructure	-0.736342457054524	0.000276392038981831	-0.975104404155418	0.0486878195413451	-1.15283926418921	0.0156241335943547	-2.39522990350381	6.4117927794044e-06	-0.445031701600604	0.519156405945242	11.2247617530069
Bcl11a	ImmuneReg;TFReg		-0.72113043318381	0.00057487888102	-0.995866018724858	0.0499435921346787	-1.04526476196666	0.0340132578150011	-2.38730186286543	8.81449796891741e-06	-0.363796092355138	0.647419677538598	9.03734689816517
Cd177	ImmuneReg;SignalTransduction;CellCommunication;Membrane		-0.713807437811875	0.00421320853589835	-1.717890873189	0.00208002890919559	-1.15336689492451	0.0296610110304128	-2.56753278546108	8.81449796891741e-06	-0.410643945235384	0.622453193772954	10.045142255511
Rnf144a	ImmuneReg;SignalTransduction;CellCommunication;Membrane		-0.712402006816226	0.00277415099863671	-1.33996226116067	0.0436488307182108	-1.4344885628559	0.0259479252778168	-2.34316458882234	0.000201768267140336	-0.522377086685841	0.600827612892992	9.24669258026422
Rfx2	TFReg		-0.697485330995954	0.0119487568698117	-1.60937114583762	0.0421915685055533	-1.67500076406644	0.0296610110304128	-2.30307456391024	0.00127979532950612	-0.41215875305619	0.765807247943758	7.83712688629494
